game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
MCTS (baseline)__vs__MCTS+__seed1010001__Astart,,A,B,victory,6,"2,2,SQUARE | 2,0,TRIANGLE | 0,2,DIAMOND | 1,1,CIRCLE",1.800419,2.400615,3,3,149,125,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed1010002__Bstart,,B,B,victory,9,"1,3,DIAMOND | 1,2,CIRCLE | 0,0,TRIANGLE | 3,1,CIRCLE",2.401436,4.804550,4,5,124,186,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2020001__Astart,,A,B,victory,10,"3,1,SQUARE | 0,0,CIRCLE | 2,3,DIAMOND | 1,2,TRIANGLE",3.000514,4.801304,5,5,171,142,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2020002__Bstart,,B,B,victory,9,"3,2,SQUARE | 1,2,CIRCLE | 0,0,TRIANGLE | 2,1,CIRCLE",2.400659,4.801584,4,5,114,188,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed3030001__Astart,,A,A,victory,7,"3,2,CIRCLE | 2,3,SQUARE | 2,1,DIAMOND | 0,2,TRIANGLE",2.400501,3.600726,4,3,182,122,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS+__seed3030002__Bstart,,B,B,victory,9,"0,2,TRIANGLE | 1,0,SQUARE | 1,1,CIRCLE | 2,3,SQUARE",2.406273,4.802409,4,5,124,185,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed4040001__Astart,,A,B,victory,10,"2,3,TRIANGLE | 1,3,CIRCLE | 3,0,TRIANGLE | 0,1,DIAMOND",3.000791,4.801224,5,5,158,154,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed4040002__Bstart,,B,B,victory,9,"3,2,TRIANGLE | 2,1,DIAMOND | 2,0,SQUARE | 1,3,DIAMOND",2.400477,4.801465,4,5,124,185,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed5050001__Astart,,A,B,victory,8,"0,0,DIAMOND | 1,0,CIRCLE | 3,1,SQUARE | 2,1,TRIANGLE",2.400643,3.600702,4,4,165,139,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed5050002__Bstart,,B,B,victory,9,"2,1,DIAMOND | 0,3,DIAMOND | 1,0,CIRCLE | 3,1,CIRCLE",2.400468,4.801190,4,5,138,188,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed6060001__Astart,,A,B,victory,8,"2,1,CIRCLE | 2,0,SQUARE | 1,3,TRIANGLE | 3,2,DIAMOND",2.401096,3.604809,4,4,172,142,0,0,0,0,1,0
