game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (baseline)__vs__Génétique+__seed1010001__Astart,,A,B,victory,8,"1,1,SQUARE | 3,0,DIAMOND | 2,1,TRIANGLE | 2,2,CIRCLE",0.002498,3.630480,4,4,164,136,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed1010002__Bstart,,B,A,victory,10,"2,1,TRIANGLE | 1,1,CIRCLE | 3,3,TRIANGLE | 1,2,DIAMOND",0.003524,6.075198,5,5,141,162,0,0,0,0,0,1
Génétique (baseline)__vs__Génétique+__seed2020001__Astart,,A,B,no_move,12,"1,2,TRIANGLE | 3,0,CIRCLE | 1,1,DIAMOND | 3,3,CIRCLE",0.002752,5.639734,6,6,190,133,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique+__seed2020002__Bstart,,B,B,victory,9,"1,0,TRIANGLE | 1,1,CIRCLE | 0,3,SQUARE | 2,1,CIRCLE",0.001517,5.241644,4,5,120,176,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed3030001__Astart,,A,B,victory,8,"1,1,CIRCLE | 3,0,TRIANGLE | 1,2,SQUARE | 2,3,DIAMOND",0.002114,3.606919,4,4,162,142,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed3030002__Bstart,,B,B,victory,7,"3,1,CIRCLE | 2,2,DIAMOND | 1,2,CIRCLE | 2,1,DIAMOND",0.001109,4.016944,3,4,110,161,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed4040001__Astart,,A,B,victory,8,"2,1,CIRCLE | 1,0,DIAMOND | 2,2,CIRCLE | 1,3,SQUARE",0.002630,4.018747,4,4,153,141,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed4040002__Bstart,,B,B,victory,7,"1,2,TRIANGLE | 2,2,CIRCLE | 0,3,DIAMOND | 2,1,SQUARE",0.002140,4.120198,3,4,123,168,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5050001__Astart,,A,B,victory,6,"2,2,TRIANGLE | 1,0,DIAMOND | 1,1,SQUARE | 2,1,CIRCLE",0.001142,2.762079,3,3,150,125,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5050002__Bstart,,B,B,no_move,9,"1,1,SQUARE | 1,2,DIAMOND | 2,2,SQUARE | 2,1,CIRCLE",0.001541,4.937673,4,5,131,163,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique+__seed6060001__Astart,,A,A,no_move,11,"2,1,TRIANGLE | 2,2,SQUARE | 1,2,TRIANGLE | 0,0,CIRCLE",0.003012,5.241146,6,5,167,135,0,1,0,0,0,0
Génétique (baseline)__vs__Génétique+__seed6060002__Bstart,,B,B,victory,9,"2,1,CIRCLE | 2,2,SQUARE | 3,3,DIAMOND | 1,2,DIAMOND",0.002283,4.860946,4,5,128,193,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7070001__Astart,,A,B,victory,8,"1,1,TRIANGLE | 2,1,SQUARE | 1,2,TRIANGLE | 3,3,DIAMOND",0.002095,3.844211,4,4,155,142,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7070002__Bstart,,B,B,victory,9,"3,1,CIRCLE | 2,2,CIRCLE | 1,2,TRIANGLE | 2,1,DIAMOND",0.001814,5.094561,4,5,127,194,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8080001__Astart,,A,B,victory,8,"1,1,DIAMOND | 3,0,CIRCLE | 2,1,SQUARE | 2,3,TRIANGLE",0.002475,3.968849,4,4,164,138,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8080002__Bstart,,B,B,no_move,9,"0,3,TRIANGLE | 1,2,CIRCLE | 2,1,TRIANGLE | 2,2,SQUARE",0.001533,5.413434,4,5,132,161,0,0,0,0,0,0
Génétique (baseline)__vs__Génétique+__seed9090001__Astart,,A,B,victory,10,"1,1,TRIANGLE | 3,0,SQUARE | 2,1,DIAMOND | 2,2,TRIANGLE",0.004236,4.793267,5,5,183,145,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9090002__Bstart,,B,B,victory,9,"1,2,TRIANGLE | 2,2,CIRCLE | 1,1,TRIANGLE | 2,1,DIAMOND",0.002872,5.150520,4,5,145,178,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed1120001__Astart,,A,B,victory,6,"1,1,CIRCLE | 1,2,TRIANGLE | 2,1,TRIANGLE | 2,3,DIAMOND",0.001638,2.680956,3,3,150,125,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed1120002__Bstart,,B,B,victory,13,"2,1,TRIANGLE | 1,1,CIRCLE | 3,3,DIAMOND | 1,2,CIRCLE",0.003227,6.485549,6,7,132,200,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed2130001__Astart,,A,B,victory,8,"1,2,CIRCLE | 1,1,TRIANGLE | 2,1,DIAMOND | 0,0,SQUARE",0.002708,3.995339,4,4,178,143,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed2130002__Bstart,,B,B,victory,7,"2,3,TRIANGLE | 1,2,TRIANGLE | 2,2,SQUARE | 1,1,TRIANGLE",0.001071,4.032904,3,4,115,181,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed3140001__Astart,,A,B,victory,6,"1,1,CIRCLE | 3,0,DIAMOND | 2,2,SQUARE | 0,1,TRIANGLE",0.001682,2.691504,3,3,148,123,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed3140002__Bstart,,B,B,victory,5,"2,2,CIRCLE | 1,1,CIRCLE | 0,1,DIAMOND | 2,1,TRIANGLE",0.001239,2.684922,2,3,92,152,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed4150001__Astart,,A,B,victory,6,"2,2,CIRCLE | 1,1,DIAMOND | 1,2,TRIANGLE | 0,1,SQUARE",0.002252,2.709028,3,3,150,124,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed4150002__Bstart,,B,B,victory,7,"2,1,CIRCLE | 1,2,DIAMOND | 1,0,SQUARE | 2,2,DIAMOND",0.001726,4.067457,3,4,112,173,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5160001__Astart,,A,B,victory,6,"2,2,TRIANGLE | 1,3,DIAMOND | 1,1,CIRCLE | 0,1,SQUARE",0.001575,2.718884,3,3,149,122,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed5160002__Bstart,,B,B,victory,7,"2,1,CIRCLE | 2,2,DIAMOND | 3,0,SQUARE | 1,1,SQUARE",0.002731,4.183825,3,4,124,178,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6170001__Astart,,A,B,victory,8,"1,2,TRIANGLE | 3,0,DIAMOND | 1,1,DIAMOND | 2,3,CIRCLE",0.001985,3.999654,4,4,168,133,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed6170002__Bstart,,B,B,victory,9,"2,1,CIRCLE | 1,2,CIRCLE | 3,0,CIRCLE | 2,2,TRIANGLE",0.002990,5.183382,4,5,136,181,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7180001__Astart,,A,B,victory,12,"2,2,CIRCLE | 0,3,SQUARE | 1,2,CIRCLE | 3,0,SQUARE",0.003871,4.816349,6,6,159,137,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed7180002__Bstart,,B,B,victory,7,"0,3,CIRCLE | 2,1,SQUARE | 3,2,DIAMOND | 1,1,SQUARE",0.001627,4.100782,3,4,106,169,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8190001__Astart,,A,B,victory,6,"1,2,CIRCLE | 2,3,SQUARE | 2,2,TRIANGLE | 0,2,DIAMOND",0.002112,2.678647,3,3,150,126,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed8190002__Bstart,,B,B,victory,7,"1,0,TRIANGLE | 1,2,CIRCLE | 0,3,SQUARE | 2,1,CIRCLE",0.002171,4.020129,3,4,110,180,0,0,0,0,1,0
Génétique (baseline)__vs__Génétique+__seed9200001__Astart,,A,B,victory,6,"1,2,CIRCLE | 0,1,DIAMOND | 1,1,TRIANGLE | 2,0,SQUARE",0.001645,2.708790,3,3,148,125,0,0,0,0,1,0
