game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__Génétique+__seed1010001__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,DIAMOND | 2,0,SQUARE | 1,2,DIAMOND",3.865356,3.861049,5,4,190,123,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed1010002__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 3,3,TRIANGLE | 3,1,DIAMOND",2.771090,4.741653,5,5,150,189,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed2020001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,TRIANGLE | 2,2,SQUARE | 0,3,TRIANGLE",3.711211,3.837503,5,4,188,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed2020002__Bstart,,B,B,no_move,9,"1,1,SQUARE | 2,2,CIRCLE | 0,2,DIAMOND | 2,3,TRIANGLE",2.640491,4.107560,4,5,129,177,0,0,0,0,0,0
AlphaBeta++__vs__Génétique+__seed3030001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 1,2,TRIANGLE",3.351196,3.142708,4,3,179,111,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed3030002__Bstart,,B,A,victory,10,"3,1,CIRCLE | 1,2,CIRCLE | 2,2,SQUARE | 0,1,SQUARE",2.824899,4.972914,5,5,144,184,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed4040001__Astart,,A,B,victory,12,"1,1,CIRCLE | 3,0,SQUARE | 2,0,TRIANGLE | 0,1,DIAMOND",3.591298,4.075399,6,6,172,138,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed4040002__Bstart,,B,A,victory,12,"1,2,SQUARE | 2,1,CIRCLE | 0,0,TRIANGLE | 3,1,DIAMOND",2.766808,4.992737,6,6,131,183,1,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed5050001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,0,TRIANGLE",3.670793,4.104244,5,4,183,134,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed5050002__Bstart,,B,A,victory,12,"1,1,SQUARE | 2,2,CIRCLE | 0,3,DIAMOND | 3,2,TRIANGLE",2.741644,4.805777,6,6,131,183,1,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed6060001__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,DIAMOND | 2,0,SQUARE | 1,2,DIAMOND",3.857271,3.863568,5,4,190,123,0,0,0,0,0,1
