game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010001__Astart,,A,B,victory,10,"3,3,SQUARE | 1,1,CIRCLE | 0,1,TRIANGLE | 2,2,DIAMOND",4.731436,2.859201,5,5,186,147,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1010002__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,TRIANGLE",4.528801,3.901872,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020001__Astart,,A,B,victory,8,"1,2,TRIANGLE | 1,1,CIRCLE | 0,1,SQUARE | 0,3,DIAMOND",3.925578,3.202566,4,4,177,144,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2020002__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,DIAMOND",4.549548,3.901512,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed3030001__Astart,,A,B,victory,10,"1,0,DIAMOND | 1,1,CIRCLE | 2,1,SQUARE | 3,0,TRIANGLE",4.750095,3.560774,5,5,188,156,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed3030002__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,DIAMOND",4.493807,3.901329,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed4040001__Astart,,A,B,victory,10,"1,3,DIAMOND | 1,1,CIRCLE | 0,1,SQUARE | 2,0,SQUARE",4.794593,3.140653,5,5,191,145,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed4040002__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,DIAMOND",4.491184,3.902149,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed5050001__Astart,,A,B,victory,8,"0,1,SQUARE | 1,1,CIRCLE | 1,2,TRIANGLE | 0,3,DIAMOND",3.925776,3.195611,4,4,177,144,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed5050002__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,DIAMOND",4.548801,3.902273,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed6060001__Astart,,A,B,victory,10,"0,1,TRIANGLE | 1,1,CIRCLE | 1,2,SQUARE | 0,3,DIAMOND",4.726472,3.032079,5,5,187,154,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed6060002__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.492935,3.901766,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed7070001__Astart,,A,B,victory,10,"1,1,TRIANGLE | 1,2,CIRCLE | 0,2,SQUARE | 0,0,DIAMOND",4.736318,3.075509,5,5,187,154,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed7070002__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,DIAMOND",4.531277,3.903516,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed8080001__Astart,,A,B,victory,10,"0,0,SQUARE | 1,1,CIRCLE | 2,2,CIRCLE | 2,3,SQUARE",4.790681,3.930755,5,5,192,149,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed8080002__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,DIAMOND",4.625651,3.902181,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed9090001__Astart,,A,A,victory,9,"1,0,SQUARE | 1,1,CIRCLE | 2,2,CIRCLE | 2,1,SQUARE",3.985950,4.320615,5,4,197,136,0,0,0,0,0,1
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed9090002__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,DIAMOND",4.800838,3.901842,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1120001__Astart,,A,B,victory,10,"3,0,SQUARE | 1,2,CIRCLE | 0,2,TRIANGLE | 2,1,DIAMOND",4.741123,2.895116,5,5,186,147,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed1120002__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,DIAMOND",4.607489,3.902415,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2130001__Astart,,A,A,victory,9,"3,1,CIRCLE | 1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE",4.205084,3.806029,5,4,197,132,0,0,0,0,0,1
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed2130002__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,DIAMOND",4.801980,3.902396,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed3140001__Astart,,A,B,victory,10,"0,2,TRIANGLE | 1,2,CIRCLE | 1,1,SQUARE | 0,0,DIAMOND",4.761615,3.144966,5,5,187,154,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed3140002__Bstart,,B,B,victory,7,"1,1,CIRCLE | 0,1,SQUARE | 2,2,SQUARE | 1,2,DIAMOND",4.726685,3.901780,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed4150001__Astart,,A,B,victory,10,"3,0,SQUARE | 1,1,CIRCLE | 1,0,TRIANGLE | 2,0,DIAMOND",4.468911,3.665915,5,5,182,158,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed4150002__Bstart,,B,B,victory,7,"1,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE | 1,1,TRIANGLE",4.680770,3.901809,3,4,120,179,0,0,0,0,1,0
AlphaBeta+MCTS__vs__AlphaBeta+MCTS+__seed5160001__Astart,,A,A,victory,11,"3,1,DIAMOND | 1,1,CIRCLE | 1,0,SQUARE | 0,2,SQUARE",4.716651,4.279821,6,5,201,139,0,0,0,0,0,1
