game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010001__Astart,,A,B,victory,8,"3,3,SQUARE | 2,2,CIRCLE | 1,1,DIAMOND | 1,3,TRIANGLE",5.394502,3.418540,4,4,176,140,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010002__Bstart,,B,A,victory,8,"1,0,TRIANGLE | 1,2,DIAMOND | 2,2,SQUARE | 3,3,CIRCLE",7.759518,2.475563,4,4,142,178,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020001__Astart,,A,B,victory,8,"1,2,TRIANGLE | 2,2,SQUARE | 2,1,DIAMOND | 0,3,CIRCLE",5.535003,3.619052,4,4,176,143,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020002__Bstart,,B,A,victory,8,"0,2,CIRCLE | 2,1,CIRCLE | 1,1,DIAMOND | 3,2,DIAMOND",11.051964,2.472566,4,4,138,175,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030001__Astart,,A,B,victory,8,"1,0,DIAMOND | 1,1,TRIANGLE | 2,2,TRIANGLE | 2,0,SQUARE",3.310352,3.276283,4,4,176,140,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030002__Bstart,,B,A,victory,6,"3,1,TRIANGLE | 2,2,CIRCLE | 2,1,SQUARE | 3,0,DIAMOND",7.502431,1.395031,3,3,123,150,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4040001__Astart,,A,A,victory,9,"1,3,DIAMOND | 2,1,CIRCLE | 0,0,CIRCLE | 1,2,TRIANGLE",5.301801,3.099732,5,4,190,129,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4040002__Bstart,,B,B,victory,7,"2,2,DIAMOND | 1,1,SQUARE | 1,3,TRIANGLE | 3,0,CIRCLE",6.883153,2.463131,3,4,119,175,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5050001__Astart,,A,A,victory,9,"0,1,SQUARE | 2,2,TRIANGLE | 1,3,DIAMOND | 3,0,CIRCLE",5.215622,3.787390,5,4,185,130,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5050002__Bstart,,B,A,victory,10,"2,2,CIRCLE | 1,1,DIAMOND | 1,0,SQUARE | 2,0,TRIANGLE",8.502571,2.639520,5,5,143,187,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6060001__Astart,,A,A,victory,9,"0,1,TRIANGLE | 2,2,SQUARE | 1,2,CIRCLE | 1,3,TRIANGLE",5.967153,3.825748,5,4,183,137,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6060002__Bstart,,B,A,victory,10,"1,1,DIAMOND | 2,2,SQUARE | 3,3,CIRCLE | 3,1,TRIANGLE",8.423172,2.599261,5,5,153,189,0,0,0,0,0,1
