game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta+MCTS+__vs__MCTS+__seed1010001__Astart,,A,A,victory,11,"1,1,CIRCLE | 0,2,CIRCLE | 2,2,SQUARE | 3,0,TRIANGLE",3.686679,6.000585,6,5,191,149,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed1010002__Bstart,,B,A,victory,10,"0,0,DIAMOND | 1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE",3.024473,6.005800,5,5,135,176,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed2020001__Astart,,A,B,victory,10,"1,2,CIRCLE | 3,3,DIAMOND | 2,3,SQUARE | 0,2,TRIANGLE",4.803491,4.807167,5,5,179,142,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed2020002__Bstart,,B,A,victory,10,"2,0,SQUARE | 1,1,CIRCLE | 0,1,DIAMOND | 3,0,TRIANGLE",3.053363,6.000607,5,5,142,185,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed3030001__Astart,,A,B,victory,8,"1,1,CIRCLE | 0,0,TRIANGLE | 2,2,TRIANGLE | 1,3,DIAMOND",4.296251,3.600496,4,4,164,145,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed3030002__Bstart,,B,B,victory,11,"2,0,DIAMOND | 1,2,CIRCLE | 0,1,TRIANGLE | 0,0,SQUARE",3.609915,6.000815,5,6,130,200,1,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed4040001__Astart,,A,B,victory,8,"1,1,CIRCLE | 0,2,DIAMOND | 2,2,SQUARE | 3,3,CIRCLE",4.357830,3.600547,4,4,167,147,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed4040002__Bstart,,B,B,victory,9,"2,3,DIAMOND | 1,1,CIRCLE | 0,2,SQUARE | 2,0,SQUARE",4.149883,4.800738,4,5,132,192,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed5050001__Astart,,A,A,victory,9,"1,2,CIRCLE | 3,3,TRIANGLE | 2,3,SQUARE | 0,2,DIAMOND",3.987920,4.800281,5,4,186,127,0,0,0,0,0,1
AlphaBeta+MCTS+__vs__MCTS+__seed5050002__Bstart,,B,B,victory,9,"3,1,DIAMOND | 1,1,CIRCLE | 0,2,SQUARE | 2,2,TRIANGLE",3.723211,4.800596,4,5,126,191,0,0,0,0,1,0
AlphaBeta+MCTS+__vs__MCTS+__seed6060001__Astart,,A,A,victory,11,"1,2,CIRCLE | 1,0,DIAMOND | 2,1,SQUARE | 3,1,TRIANGLE",3.992780,6.000439,6,5,197,141,0,0,0,0,0,1
