game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__Génétique (éval AB)__seed1010001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,1,SQUARE",3.176001,10.630515,4,3,180,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1010002__Bstart,,B,A,victory,8,"1,0,TRIANGLE | 2,1,CIRCLE | 2,2,DIAMOND | 3,3,TRIANGLE",2.717703,5.970409,4,4,140,173,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2020001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,0,SQUARE",3.787800,10.966876,4,3,177,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2020002__Bstart,,B,A,victory,12,"0,2,CIRCLE | 1,1,CIRCLE | 1,2,DIAMOND | 2,3,SQUARE",2.759313,7.484089,6,6,161,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3030001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 3,0,TRIANGLE",3.897433,12.589369,5,4,192,131,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3030002__Bstart,,B,A,victory,10,"3,1,TRIANGLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.766420,5.975462,5,5,150,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4040001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.963991,11.553713,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__Génétique (éval AB)__seed4040002__Bstart,,B,B,victory,11,"2,2,DIAMOND | 1,1,CIRCLE | 1,3,TRIANGLE | 0,1,SQUARE",2.767304,6.272725,5,6,129,192,1,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed5050001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,0,SQUARE",3.785558,9.578617,4,3,177,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5050002__Bstart,,B,A,victory,8,"2,2,CIRCLE | 1,1,CIRCLE | 0,0,TRIANGLE | 0,2,SQUARE",2.800753,8.064153,4,4,140,174,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6060001__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 1,0,DIAMOND",3.790701,9.366677,4,3,182,113,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6060002__Bstart,,B,B,victory,7,"1,1,DIAMOND | 2,2,CIRCLE | 0,3,TRIANGLE | 3,2,SQUARE",2.537443,6.496554,3,4,122,168,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed7070001__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",3.942277,12.502942,6,6,191,158,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed7070002__Bstart,,B,A,victory,10,"0,1,DIAMOND | 1,2,CIRCLE | 1,3,SQUARE | 0,0,TRIANGLE",2.750239,5.850313,5,5,148,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8080001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,3,DIAMOND",3.763946,9.150875,4,3,176,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8080002__Bstart,,B,B,victory,11,"1,0,SQUARE | 2,2,TRIANGLE | 0,3,DIAMOND | 3,3,TRIANGLE",2.684960,5.542944,5,6,121,191,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed9090001__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 3,0,DIAMOND",3.786674,9.576355,4,3,176,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9090002__Bstart,,B,B,victory,9,"3,3,TRIANGLE | 1,1,CIRCLE | 2,1,DIAMOND | 1,0,SQUARE",2.725186,5.604284,4,5,140,190,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1120001__Astart,,A,A,victory,9,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 0,1,DIAMOND",3.684765,9.988928,5,4,194,138,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1120002__Bstart,,B,A,victory,10,"1,2,CIRCLE | 2,1,CIRCLE | 2,3,TRIANGLE | 1,0,TRIANGLE",2.791959,8.276196,5,5,153,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2130001__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",3.938063,12.194553,6,6,191,158,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed2130002__Bstart,,B,A,victory,10,"1,2,TRIANGLE | 2,1,CIRCLE | 3,3,CIRCLE | 3,2,DIAMOND",2.752997,6.684489,5,5,140,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3140001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 3,0,DIAMOND",3.789159,10.860192,4,3,173,117,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3140002__Bstart,,B,B,victory,9,"2,3,SQUARE | 1,1,CIRCLE | 1,2,DIAMOND | 3,2,TRIANGLE",2.731246,6.466241,4,5,136,187,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed4150001__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 2,0,TRIANGLE",3.788737,8.813085,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4150002__Bstart,,B,A,victory,8,"2,2,CIRCLE | 1,1,CIRCLE | 0,0,SQUARE | 3,0,DIAMOND",2.713674,8.023447,4,4,138,173,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5160001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,3,DIAMOND",3.788135,8.759233,4,3,176,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5160002__Bstart,,B,B,victory,9,"3,1,DIAMOND | 1,2,CIRCLE | 2,2,TRIANGLE | 1,3,SQUARE",2.714635,5.006292,4,5,134,189,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed6170001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,2,DIAMOND",3.784287,8.987993,4,3,178,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6170002__Bstart,,B,A,victory,10,"3,1,CIRCLE | 1,2,CIRCLE | 1,0,DIAMOND | 3,3,DIAMOND",2.918439,7.369601,5,5,148,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7180001__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 3,0,TRIANGLE",3.755167,9.055308,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7180002__Bstart,,B,B,victory,11,"0,3,CIRCLE | 2,1,SQUARE | 1,1,TRIANGLE | 2,0,DIAMOND",2.762239,6.984284,5,6,151,195,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed8190001__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 3,0,DIAMOND",3.784005,9.598595,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8190002__Bstart,,B,A,victory,10,"1,3,SQUARE | 2,2,TRIANGLE | 3,2,DIAMOND | 0,3,CIRCLE",2.737047,5.452183,5,5,149,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9200001__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",3.939378,12.494581,6,6,191,158,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed9200002__Bstart,,B,A,victory,10,"3,0,CIRCLE | 1,2,CIRCLE | 1,1,DIAMOND | 3,3,DIAMOND",2.785712,6.996057,5,5,153,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1010003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,CIRCLE",3.889247,10.803028,5,4,199,135,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1010004__Bstart,,B,A,victory,8,"2,2,SQUARE | 1,1,CIRCLE | 0,0,TRIANGLE | 0,2,DIAMOND",2.903616,7.178453,4,4,145,167,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2020003__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 3,0,DIAMOND",3.785310,9.032072,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2020004__Bstart,,B,B,victory,11,"1,2,DIAMOND | 2,1,CIRCLE | 0,0,TRIANGLE | 3,1,SQUARE",2.829365,6.385899,5,6,137,194,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed3030003__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 0,3,CIRCLE",3.133179,11.271384,4,3,178,119,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3030004__Bstart,,B,B,victory,9,"3,3,TRIANGLE | 1,1,CIRCLE | 2,1,DIAMOND | 1,0,SQUARE",2.748742,5.304817,4,5,138,190,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed4040003__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",3.943296,12.746385,6,6,191,158,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed4040004__Bstart,,B,B,victory,9,"0,0,CIRCLE | 2,2,SQUARE | 2,1,DIAMOND | 3,2,TRIANGLE",2.683809,6.299448,4,5,130,190,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed5050003__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,2,DIAMOND",3.781665,9.099746,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5050004__Bstart,,B,B,victory,9,"2,3,DIAMOND | 1,1,CIRCLE | 1,2,TRIANGLE | 3,2,SQUARE",2.736915,5.868353,4,5,136,189,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed6060003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,0,SQUARE",3.924548,10.583350,5,4,188,131,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6060004__Bstart,,B,A,victory,8,"0,2,TRIANGLE | 1,1,CIRCLE | 2,1,SQUARE | 3,0,TRIANGLE",2.703748,6.241994,4,4,140,173,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7070003__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",4.027411,12.510240,6,6,191,158,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed7070004__Bstart,,B,A,victory,10,"0,1,CIRCLE | 1,2,CIRCLE | 2,2,TRIANGLE | 3,3,DIAMOND",2.855207,8.105392,5,5,143,189,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8080003__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,2,DIAMOND",3.789514,9.868570,4,3,179,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8080004__Bstart,,B,B,victory,11,"0,0,TRIANGLE | 2,2,CIRCLE | 2,1,SQUARE | 3,2,DIAMOND",2.791219,5.386833,5,6,130,192,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed9090003__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 2,0,TRIANGLE",3.785440,8.708409,4,3,179,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9090004__Bstart,,B,B,victory,9,"2,1,TRIANGLE | 1,2,CIRCLE | 3,2,SQUARE | 1,0,TRIANGLE",2.721548,6.509135,4,5,137,190,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1120003__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 2,3,DIAMOND",3.527542,10.384138,4,3,176,119,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1120004__Bstart,,B,B,victory,7,"2,1,SQUARE | 1,2,CIRCLE | 0,0,DIAMOND | 1,3,TRIANGLE",2.537624,6.697526,3,4,122,168,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed2130003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 0,3,CIRCLE",3.134497,10.976277,5,4,188,137,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2130004__Bstart,,B,B,victory,9,"3,2,TRIANGLE | 1,1,CIRCLE | 2,1,SQUARE | 0,0,TRIANGLE",2.710439,6.190551,4,5,137,195,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed3140003__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 2,0,DIAMOND",3.791419,9.635328,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3140004__Bstart,,B,A,victory,10,"0,2,TRIANGLE | 1,1,CIRCLE | 2,1,DIAMOND | 3,0,TRIANGLE",2.770235,6.400750,5,5,149,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4150003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 1,0,DIAMOND",3.886806,9.857558,5,4,197,138,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4150004__Bstart,,B,A,victory,10,"3,0,CIRCLE | 1,2,CIRCLE | 1,1,TRIANGLE | 3,3,TRIANGLE",2.802772,6.946370,5,5,153,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5160003__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,0,TRIANGLE",3.243467,10.861990,4,3,174,118,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5160004__Bstart,,B,A,victory,8,"2,1,SQUARE | 1,2,CIRCLE | 0,2,DIAMOND | 3,3,TRIANGLE",2.727474,6.861884,4,4,140,174,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6170003__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 0,2,TRIANGLE",3.786931,8.696446,4,3,179,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6170004__Bstart,,B,A,victory,10,"3,2,CIRCLE | 1,1,CIRCLE | 2,1,TRIANGLE | 0,2,TRIANGLE",2.868838,7.114763,5,5,153,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7180003__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 3,0,TRIANGLE",3.750359,8.323141,4,3,176,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7180004__Bstart,,B,A,victory,10,"1,1,CIRCLE | 2,2,CIRCLE | 2,3,TRIANGLE | 3,0,SQUARE",2.776187,8.099095,5,5,149,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8190003__Astart,,A,B,victory,14,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,CIRCLE",3.948738,11.853718,7,7,193,160,1,1,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed8190004__Bstart,,B,A,victory,10,"2,0,CIRCLE | 1,1,CIRCLE | 1,2,DIAMOND | 0,3,TRIANGLE",2.852957,7.021423,5,5,144,189,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9200003__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 3,0,TRIANGLE",3.788544,11.382144,4,3,172,117,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9200004__Bstart,,B,B,victory,11,"1,1,SQUARE | 2,2,CIRCLE | 0,2,DIAMOND | 2,3,TRIANGLE",2.749180,7.093376,5,6,151,185,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1010005__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 0,3,CIRCLE",3.119332,10.003127,4,3,178,119,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1010006__Bstart,,B,B,victory,9,"1,2,DIAMOND | 2,1,CIRCLE | 0,1,TRIANGLE | 2,0,SQUARE",2.736967,6.333830,4,5,138,191,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed2020005__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,3,DIAMOND",3.788326,9.744525,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2020006__Bstart,,B,A,victory,8,"0,1,CIRCLE | 1,2,CIRCLE | 1,1,TRIANGLE | 2,0,SQUARE",3.109314,7.158991,4,4,149,169,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3030005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 1,0,SQUARE",3.418261,11.624089,5,4,190,139,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3030006__Bstart,,B,B,victory,9,"1,3,DIAMOND | 2,1,CIRCLE | 2,2,SQUARE | 3,1,TRIANGLE",2.751760,5.687739,4,5,130,195,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed4040005__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 3,0,CIRCLE",3.787316,11.300458,5,4,188,136,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4040006__Bstart,,B,A,victory,8,"1,0,DIAMOND | 2,1,CIRCLE | 2,2,SQUARE | 3,3,DIAMOND",2.696568,5.819018,4,4,140,173,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5050005__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 2,1,SQUARE",3.782354,8.861640,4,3,181,122,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5050006__Bstart,,B,A,victory,10,"1,0,DIAMOND | 2,1,CIRCLE | 2,2,TRIANGLE | 3,3,DIAMOND",2.776102,5.864391,5,5,149,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6060005__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 2,0,TRIANGLE",3.783227,8.985892,4,3,177,121,0,0,0,0,0,1
