game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,,A,A,victory,9,"3,3,SQUARE | 1,2,CIRCLE | 2,1,TRIANGLE | 0,0,SQUARE",5.772681,4.800663,5,4,186,137,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,,B,B,victory,9,"0,0,DIAMOND | 2,2,SQUARE | 3,1,TRIANGLE | 1,1,CIRCLE",8.089953,4.800491,4,5,139,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2020001__Astart,,A,A,victory,11,"1,2,TRIANGLE | 0,0,DIAMOND | 2,1,CIRCLE | 3,1,TRIANGLE",4.561166,6.000474,6,5,182,133,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2020002__Bstart,,B,B,victory,9,"2,0,SQUARE | 1,2,CIRCLE | 3,3,DIAMOND | 2,1,TRIANGLE",7.081979,4.800629,4,5,135,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed3030001__Astart,,A,A,victory,11,"1,0,DIAMOND | 1,1,TRIANGLE | 2,2,TRIANGLE | 0,3,CIRCLE",4.153067,6.000677,6,5,183,132,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed3030002__Bstart,,B,B,victory,7,"2,0,DIAMOND | 1,1,SQUARE | 0,1,TRIANGLE | 3,3,CIRCLE",8.075015,3.600768,3,4,119,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed4040001__Astart,,A,A,victory,9,"1,3,DIAMOND | 2,2,DIAMOND | 2,1,SQUARE | 0,0,TRIANGLE",5.000300,4.800480,5,4,192,129,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed4040002__Bstart,,B,B,victory,7,"2,3,DIAMOND | 1,2,SQUARE | 0,2,TRIANGLE | 3,1,CIRCLE",6.831246,3.600766,3,4,119,165,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed5050001__Astart,,A,A,victory,9,"0,1,SQUARE | 1,3,TRIANGLE | 1,2,CIRCLE | 0,0,DIAMOND",4.978999,4.800551,5,4,179,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed5050002__Bstart,,B,B,victory,9,"3,1,DIAMOND | 1,2,SQUARE | 0,0,TRIANGLE | 2,1,CIRCLE",7.574477,4.800714,4,5,135,174,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed6060001__Astart,,A,A,victory,11,"0,1,TRIANGLE | 0,3,CIRCLE | 1,2,DIAMOND | 1,0,SQUARE",4.811127,6.000516,6,5,199,141,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed6060002__Bstart,,B,B,victory,11,"3,3,DIAMOND | 1,1,TRIANGLE | 0,2,CIRCLE | 2,3,CIRCLE",8.106062,6.000992,5,6,129,194,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed7070001__Astart,,A,A,victory,11,"1,1,TRIANGLE | 3,0,SQUARE | 2,3,DIAMOND | 2,2,TRIANGLE",5.578377,6.008321,6,5,182,131,1,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed7070002__Bstart,,B,B,victory,7,"2,0,DIAMOND | 1,1,TRIANGLE | 3,2,TRIANGLE | 0,2,SQUARE",8.493018,3.600608,3,4,117,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed8080001__Astart,,A,A,victory,9,"0,0,SQUARE | 3,1,TRIANGLE | 2,1,DIAMOND | 1,0,CIRCLE",5.032607,4.800440,5,4,187,128,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed8080002__Bstart,,B,B,victory,7,"2,2,CIRCLE | 1,1,CIRCLE | 3,0,DIAMOND | 0,3,TRIANGLE",10.417897,3.600730,3,4,117,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed9090001__Astart,,A,A,victory,9,"1,0,SQUARE | 0,2,DIAMOND | 2,1,TRIANGLE | 3,3,TRIANGLE",4.639378,4.800470,5,4,187,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed9090002__Bstart,,B,A,victory,10,"0,0,TRIANGLE | 2,2,DIAMOND | 1,3,SQUARE | 3,1,CIRCLE",7.754297,6.000747,5,5,147,174,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120001__Astart,,A,A,victory,9,"3,0,SQUARE | 2,2,CIRCLE | 1,1,TRIANGLE | 0,3,SQUARE",5.824925,4.800376,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1120002__Bstart,,B,B,victory,9,"0,2,CIRCLE | 1,1,SQUARE | 1,0,TRIANGLE | 2,3,DIAMOND",9.221977,4.800899,4,5,136,173,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed2130001__Astart,,A,A,victory,11,"3,1,CIRCLE | 1,3,SQUARE | 1,2,TRIANGLE | 0,0,DIAMOND",6.214668,6.014633,6,5,183,146,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed2130002__Bstart,,B,B,victory,9,"0,2,CIRCLE | 1,1,TRIANGLE | 1,0,DIAMOND | 3,3,SQUARE",8.776758,4.800665,4,5,137,171,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed3140001__Astart,,A,A,victory,11,"0,2,TRIANGLE | 2,0,SQUARE | 1,1,DIAMOND | 0,1,CIRCLE",4.994491,6.000583,6,5,190,135,0,0,0,0,0,1
