game_uid,ply,player,r,c,shape,time_sec,legal_count,had_immediate_win,chose_immediate_win,gave_opp_immediate_win,is_center,note
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,0,A,1,1,CIRCLE,1.277529,64,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,1,B,1,2,SQUARE,1.300498,53,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,2,A,3,0,SQUARE,1.259972,50,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,3,B,3,3,CIRCLE,1.300847,39,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,4,A,2,1,DIAMOND,1.256080,36,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,5,B,0,2,TRIANGLE,0.910592,29,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,6,A,1,0,CIRCLE,0.152775,23,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,7,B,2,2,SQUARE,0.047328,22,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,8,A,0,0,SQUARE,0.019316,14,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,9,B,2,0,TRIANGLE,0.016540,13,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,10,A,2,3,DIAMOND,0.001653,6,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010001__Astart,11,B,3,2,CIRCLE,0.000330,2,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,0,B,1,1,CIRCLE,1.300568,64,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,1,A,2,2,CIRCLE,1.264777,53,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,2,B,1,2,SQUARE,1.300643,49,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,3,A,0,3,TRIANGLE,1.256362,41,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,4,B,3,0,DIAMOND,1.300554,36,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,5,A,3,1,SQUARE,0.577578,27,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,6,B,2,1,TRIANGLE,0.631796,23,0,0,1,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed1010002__Bstart,7,A,2,0,CIRCLE,0.000322,20,1,1,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,0,A,1,1,CIRCLE,1.277853,64,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,1,B,1,2,SQUARE,1.300327,53,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,2,A,3,0,SQUARE,1.261652,50,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,3,B,2,2,CIRCLE,1.300424,39,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,4,A,0,0,TRIANGLE,1.259382,37,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,5,B,2,1,TRIANGLE,1.300590,28,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,6,A,0,1,DIAMOND,0.137276,26,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,7,B,3,1,TRIANGLE,0.418571,20,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,8,A,1,3,TRIANGLE,0.028584,18,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,9,B,0,2,CIRCLE,0.392768,13,0,0,1,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020001__Astart,10,A,0,3,DIAMOND,0.000312,10,1,1,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020002__Bstart,0,B,1,1,CIRCLE,1.300238,64,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020002__Bstart,1,A,2,2,CIRCLE,1.264458,53,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020002__Bstart,2,B,0,2,SQUARE,1.300747,49,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020002__Bstart,3,A,3,1,SQUARE,1.257158,39,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020002__Bstart,4,B,0,3,TRIANGLE,1.300334,36,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020002__Bstart,5,A,3,0,DIAMOND,0.250906,27,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020002__Bstart,6,B,1,2,SQUARE,0.594871,23,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020002__Bstart,7,A,3,2,TRIANGLE,0.073608,21,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020002__Bstart,8,B,2,1,TRIANGLE,0.394606,13,0,0,1,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed2020002__Bstart,9,A,2,0,CIRCLE,0.000239,14,1,1,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,0,A,1,1,CIRCLE,1.275961,64,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,1,B,1,2,SQUARE,1.300350,53,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,2,A,3,0,SQUARE,1.256605,50,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,3,B,3,3,CIRCLE,1.300818,39,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,4,A,2,1,DIAMOND,1.255600,36,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,5,B,0,2,TRIANGLE,0.910726,29,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,6,A,1,0,CIRCLE,0.160489,23,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,7,B,2,2,SQUARE,0.048201,22,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,8,A,0,0,SQUARE,0.019971,14,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,9,B,2,0,TRIANGLE,0.017015,13,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,10,A,2,3,DIAMOND,0.001742,6,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030001__Astart,11,B,3,2,CIRCLE,0.000341,2,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030002__Bstart,0,B,1,2,CIRCLE,1.300417,64,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030002__Bstart,1,A,2,1,CIRCLE,1.261132,53,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030002__Bstart,2,B,1,1,SQUARE,1.300446,49,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030002__Bstart,3,A,0,0,TRIANGLE,1.256237,41,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030002__Bstart,4,B,2,2,SQUARE,1.300365,36,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030002__Bstart,5,A,1,3,DIAMOND,0.315360,30,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030002__Bstart,6,B,1,0,CIRCLE,0.393945,14,0,0,1,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed3030002__Bstart,7,A,0,1,DIAMOND,0.000634,23,1,1,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,0,A,1,1,CIRCLE,1.276007,64,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,1,B,1,2,SQUARE,1.300219,53,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,2,A,3,0,SQUARE,1.259562,50,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,3,B,3,3,CIRCLE,1.300563,39,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,4,A,2,1,DIAMOND,1.255886,36,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,5,B,0,2,TRIANGLE,0.910566,29,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,6,A,1,0,CIRCLE,0.152297,23,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,7,B,2,2,SQUARE,0.048325,22,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,8,A,0,0,SQUARE,0.019392,14,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,9,B,2,0,TRIANGLE,0.016695,13,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,10,A,2,3,DIAMOND,0.001667,6,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040001__Astart,11,B,3,2,CIRCLE,0.000337,2,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040002__Bstart,0,B,1,2,CIRCLE,1.301173,64,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040002__Bstart,1,A,2,1,CIRCLE,1.261497,53,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040002__Bstart,2,B,1,1,SQUARE,1.300770,49,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040002__Bstart,3,A,0,0,TRIANGLE,1.255679,41,0,0,0,0,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040002__Bstart,4,B,2,2,SQUARE,1.300420,36,0,0,0,1,ok
AlphaBeta++__vs__AlphaBeta+MCTS+__seed4040002__Bstart,5,A,1,3,DIAMOND,0.318471,30,0,0,0,0,ok
