game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__MCTS+__seed1010001__Astart,,A,B,victory,8,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",3.559500,3.600459,4,4,164,137,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1010002__Bstart,,B,B,victory,9,"0,0,DIAMOND | 2,2,CIRCLE | 1,3,CIRCLE | 0,2,SQUARE",2.687701,4.800711,4,5,134,201,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1020001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,0,DIAMOND",3.856525,4.800467,5,4,188,137,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1020002__Bstart,,B,A,victory,10,"0,3,TRIANGLE | 2,1,CIRCLE | 1,2,DIAMOND | 0,0,SQUARE",3.164735,6.000855,5,5,149,178,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1030001__Astart,,A,B,victory,8,"1,1,CIRCLE | 0,3,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",3.668409,3.600538,4,4,164,137,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1030002__Bstart,,B,B,victory,9,"3,3,SQUARE | 1,1,CIRCLE | 0,2,DIAMOND | 3,0,DIAMOND",2.789024,4.801380,4,5,136,179,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1040001__Astart,,A,A,victory,11,"1,1,CIRCLE | 0,2,SQUARE | 2,2,TRIANGLE | 1,0,DIAMOND",3.855121,6.000667,6,5,196,141,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1040002__Bstart,,B,B,no_move,11,"3,2,CIRCLE | 1,1,CIRCLE | 2,0,TRIANGLE | 3,3,DIAMOND",2.996133,7.200835,5,6,129,183,0,1,0,0,0,0
AlphaBeta++__vs__MCTS+__seed1050001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 3,0,TRIANGLE | 2,0,SQUARE | 0,1,DIAMOND",3.847243,7.200569,6,6,182,145,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed1050002__Bstart,,B,B,victory,9,"3,0,TRIANGLE | 1,2,CIRCLE | 2,3,CIRCLE | 3,2,SQUARE",2.661449,4.800745,4,5,134,197,0,0,0,0,1,0
AlphaBeta++__vs__MCTS+__seed1060001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE | 0,1,TRIANGLE",3.913947,4.801017,5,4,187,129,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1060002__Bstart,,B,A,victory,10,"2,1,CIRCLE | 1,2,CIRCLE | 0,0,SQUARE | 2,2,SQUARE",2.891634,6.001169,5,5,145,188,0,0,0,0,0,1
AlphaBeta++__vs__MCTS+__seed1070001__Astart,,A,B,no_move,12,"1,1,CIRCLE | 3,2,SQUARE | 2,2,TRIANGLE | 0,3,DIAMOND",3.687270,7.200504,6,6,173,138,0,0,0,0,0,0
AlphaBeta++__vs__MCTS+__seed1070002__Bstart,,B,B,victory,9,"0,2,SQUARE | 1,1,CIRCLE | 3,3,TRIANGLE | 2,3,DIAMOND",2.910547,4.800638,4,5,132,190,0,0,0,0,1,0
