game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__MCTS+__seed1010001__Astart,,A,A,victory,9,"3,3,SQUARE | 0,2,TRIANGLE | 1,2,CIRCLE | 2,3,DIAMOND",5.274456,4.800423,5,4,181,135,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1010002__Bstart,,B,B,victory,7,"0,0,DIAMOND | 2,1,SQUARE | 3,1,TRIANGLE | 1,2,CIRCLE",9.438524,3.600434,3,4,119,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1020001__Astart,,A,B,victory,12,"1,3,DIAMOND | 3,0,SQUARE | 2,1,CIRCLE | 0,1,TRIANGLE",6.343474,6.001280,6,6,195,155,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1020002__Bstart,,B,A,victory,10,"0,3,TRIANGLE | 2,1,SQUARE | 3,3,TRIANGLE | 1,0,CIRCLE",10.197596,6.000689,5,5,151,156,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1030001__Astart,,A,A,victory,11,"0,1,CIRCLE | 2,0,TRIANGLE | 1,2,SQUARE | 3,3,DIAMOND",8.307055,6.000507,6,5,191,145,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1030002__Bstart,,B,B,victory,7,"3,3,SQUARE | 1,2,TRIANGLE | 0,2,DIAMOND | 2,1,CIRCLE",9.216063,3.600933,3,4,119,167,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1040001__Astart,,A,A,victory,11,"2,3,CIRCLE | 3,1,SQUARE | 1,1,TRIANGLE | 2,2,DIAMOND",6.370008,6.000454,6,5,193,140,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1040002__Bstart,,B,A,victory,10,"3,2,CIRCLE | 1,1,CIRCLE | 0,3,SQUARE | 2,0,SQUARE",11.711354,6.000823,5,5,147,184,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1050001__Astart,,A,A,victory,9,"3,3,TRIANGLE | 1,1,SQUARE | 2,1,CIRCLE | 0,2,DIAMOND",6.141155,4.800664,5,4,189,139,0,0,0,0,0,1
Génétique (éval AB)__vs__MCTS+__seed1050002__Bstart,,B,B,victory,7,"3,0,TRIANGLE | 1,2,SQUARE | 2,3,DIAMOND | 2,1,CIRCLE",8.569059,3.601296,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__MCTS+__seed1060001__Astart,,A,A,victory,9,"3,3,SQUARE | 1,2,CIRCLE | 1,1,DIAMOND | 2,3,TRIANGLE",6.104414,4.800618,5,4,184,129,0,0,0,0,0,1
